N,smina,gnina,best,annotation,prefix,model,crystal
10,37.71125,39.61869,50.93262,flex1,nc,dense,no
1,30.03667,45.48154,85.43267,flex2,nc,dense,yes
2,39.28667,58.84235,87.81154,flex2,nc,dense,yes
3,45.09503,66.50206,88.30955,flex2,nc,dense,yes
4,48.06662,71.62489,88.67210,flex2,nc,dense,yes
5,51.64229,74.47316,88.73999,flex2,nc,dense,yes
6,54.39414,76.63916,88.73999,flex2,nc,dense,yes
7,56.17251,78.32340,88.77329,flex2,nc,dense,yes
8,59.45817,79.61768,88.77329,flex2,nc,dense,yes
9,60.91938,80.94637,88.77329,flex2,nc,dense,yes
10,62.55753,81.71383,88.77329,flex2,nc,dense,yes
1,26.68403,27.52868,65.73948,flex2,nc,dense,no
2,35.23932,38.78870,70.34553,flex2,nc,dense,no
3,40.52926,45.23667,71.11288,flex2,nc,dense,no
